indic_bt,nace_r2,unit,geo\time	2017Q2 	2017Q3 	2017Q4 	2018Q1 	2018Q2 	2018Q3 	2018Q4 	2019Q1 	2019Q2 	2019Q3 	2019Q4 	2020Q1 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,BE	1.9 ps	0.7 ps	1.9 ps	0.4 ps	2.1 ps	0.2 ps	-0.3 ps	0.9 ps	-0.4 ps	1.6 ps	1.9 ps	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,BG	-1.7 s	1.6 s	3.1 s	2.9 s	2.5 s	1.0 s	2.0 s	-2.0 ps	-1.5 ps	1.2 ps	-1.7 ps	-0.2 ps
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,CY	0.7 s	0.4 s	1.7 s	0.3 s	3.5 s	2.7 s	0.8 s	0.0 s	0.6 s	4.5 s	: c	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,CZ	1.5 s	-0.2 s	2.3 s	0.8 s	1.7 s	1.9 s	-0.2 s	1.7 s	-0.3 s	0.2 s	0.4 s	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,DE	0.4 ps	0.6 ps	2.2 ps	0.7 ps	0.8 ps	0.3 ps	2.0 ps	1.4 ps	-0.9 ps	-0.3 ps	1.2 ps	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,DK	-0.1 ps	1.0 ps	1.2 ps	0.6 ps	2.4 ps	0.9 ps	0.8 ps	1.1 ps	0.0 ps	1.2 ps	1.9 ps	-2.9 ps
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,EA19	0.7 	1.1 	1.9 	0.9 	1.3 	0.7 	1.4 	0.9 	0.4 	0.5 	0.6 	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,EE	-0.2 s	1.0 s	5.8 s	2.2 s	2.0 s	4.6 s	5.5 s	-4.1 s	2.9 s	2.4 s	1.4 s	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,EL	-0.9 s	1.1 s	2.3 s	2.3 s	0.7 s	2.1 s	-1.5 s	-0.6 s	1.8 s	0.8 s	0.0 ps	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,ES	1.7 p	0.9 p	2.7 p	1.5 p	1.3 p	2.3 p	0.3 p	1.6 p	1.0 p	0.0 p	0.8 p	-6.9 p
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,EU27_2020	0.6 	1.2 	2.0 	1.0 	1.6 	0.8 	1.4 	1.1 	0.5 	0.7 	0.6 	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,EU28	0.5 	1.2 	1.9 	1.1 	2.0 	1.0 	1.3 	1.0 	0.6 	0.6 	0.1 	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,FI	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,FR	0.4 	2.0 	1.6 	1.1 	1.6 	0.4 	1.8 	1.1 	1.0 	0.9 	0.7 	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,HR	0.9 	1.2 	1.0 	2.0 	2.1 	0.9 	1.2 	2.3 	0.7 	1.4 	1.4 	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,HU	3.4 s	2.2 s	3.5 s	2.5 s	5.3 s	2.9 s	0.3 s	6.8 s	2.6 s	3.5 s	2.0 s	-0.7 s
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,IE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,IT	0.3 	0.7 	1.0 	0.4 	0.4 	-0.6 	0.4 	0.5 	-0.1 	0.2 	-0.6 	-6.2 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,LT	3.1 s	1.2 s	4.5 s	2.1 s	3.8 s	1.9 s	2.8 s	2.7 s	1.4 s	2.7 s	1.5 s	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,LU	0.1 s	1.4 s	2.3 s	2.1 s	-3.3 s	5.9 s	3.9 s	2.1 s	2.0 s	-5.5 s	-1.8 ps	-2.4 ps
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,LV	-0.9 	-1.4 	5.6 	-2.6 	4.1 	-0.7 	6.1 	-0.1 	0.2 	-1.3 	-2.5 	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,MT	4.6 s	-3.2 s	6.6 ps	-1.4 ps	4.1 ps	0.1 ps	-1.1 ps	0.4 ps	-0.9 ps	3.2 ps	-0.2 ps	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,NL	: c	: c	1.3 ps	1.1 ps	1.9 ps	0.7 ps	1.1 ps	0.5 ps	0.5 ps	0.8 ps	0.3 ps	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,PL	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,PT	2.5 	0.8 	1.8 	-0.2 	3.3 	0.0 	-0.9 	2.5 	0.5 	-0.2 	-0.5 	-3.9 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,RO	2.4 s	3.5 s	2.0 s	0.1 ps	4.9 ps	2.0 s	2.5 ps	1.7 ps	1.4 s	0.8 s	3.0 ps	4.4 ps
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,SE	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,SI	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c	: c
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,SK	1.3 s	1.7 s	2.1 s	1.9 s	2.6 s	2.0 s	1.4 s	1.2 s	0.0 s	0.0 s	0.7 s	0.5 s
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,TR	4.8 	5.9 	6.5 	3.3 	6.5 	9.3 	-3.4 	4.1 	6.5 	4.4 	5.8 	2.3 
TOVT,G-N_STS_X_G47,PCH_Q1_SCA,UK	0.0 s	0.9 s	1.5 s	1.5 s	4.3 s	1.3 s	0.4 s	1.4 s	1.1 s	-0.4 s	-2.2 s	-2.3 s
TOVT,G-N_STS_X_G47,PCH_Q4_CA,AT	5.8 s	5.6 s	5.8 s	4.5 s	5.8 s	5.1 s	4.1 s	3.7 s	1.4 s	1.9 s	0.0 s	: 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,BE	7.4 ps	7.4 ps	7.5 ps	5.0 ps	5.2 ps	4.6 ps	2.5 ps	2.9 ps	0.2 ps	1.9 ps	4.2 ps	: 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,BG	6.8 s	9.5 s	6.9 s	6.0 s	9.9 s	10.2 s	9.2 s	3.2 ps	-1.0 ps	0.2 ps	-3.9 ps	-2.3 ps
TOVT,G-N_STS_X_G47,PCH_Q4_CA,CY	8.4 s	6.1 s	7.2 s	3.0 s	5.9 s	8.4 s	7.4 s	7.1 s	4.0 s	5.9 s	: c	: 
TOVT,G-N_STS_X_G47,PCH_Q4_CA,CZ	7.5 s	5.3 s	5.6 s	4.8 s	4.8 s	7.1 s	4.1 s	5.4 s	3.1 s	1.3 s	1.8 s	: 
